A3KCUB6P3IE8NL:3QJOXOW4XKM2P6U2855CSD6U757EM3,path_7,"[40, 41, 42, 43, 44, 34, 24, 14, 4, 3]"
A3KCUB6P3IE8NL:3QJOXOW4XKM2P6U2855CSD6U757EM3,path_4,"[50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
A3KCUB6P3IE8NL:3QJOXOW4XKM2P6U2855CSD6U757EM3,path_5,"[40, 41, 42, 43, 44, 45, 46, 47, 57, 67, 66, 56, 46, 47, 57, 67, 66, 56, 46, 56, 57, 47, 46, 56, 57, 67, 57, 47, 46, 56, 66, 67, 57, 47, 57, 67, 66, 67, 66, 67, 66, 67, 66, 56, 46, 47, 57, 67, 66, 56, 46, 47, 57, 67, 66, 56, 46, 47, 57, 67, 66, 56, 46, 47, 57, 67, 66, 56, 46, 47, 57, 67, 66, 56, 46, 47, 57, 67, 66, 56, 46, 47, 57, 67, 66, 56, 46, 47, 57, 67, 66, 56, 57, 56, 57, 56, 57, 56, 57, 56, 57, 56, 57, 56, 57, 56, 57, 56, 46, 56, 46, 47, 57, 67, 66, 56, 46, 47, 57, 56, 46, 36, 26, 16, 6, 5, 4, 3]"
A3KCUB6P3IE8NL:3QJOXOW4XKM2P6U2855CSD6U757EM3,path_2,"[50, 51, 52, 62, 72, 73, 63, 53, 54, 64, 74, 64, 54, 55, 45, 35, 25, 26, 27, 37, 36, 46, 47, 48, 58, 59]"
A3KCUB6P3IE8NL:3QJOXOW4XKM2P6U2855CSD6U757EM3,path_3,"[50, 60, 70]"
A3KCUB6P3IE8NL:3QJOXOW4XKM2P6U2855CSD6U757EM3,path_0,"[0, 10, 11, 21, 22, 32, 33, 43, 44, 54, 55, 65, 66, 76, 77, 87, 88, 98, 99]"
A3KCUB6P3IE8NL:3QJOXOW4XKM2P6U2855CSD6U757EM3,path_1,"[50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
A3KCUB6P3IE8NL:3QJOXOW4XKM2P6U2855CSD6U757EM3,grid_13,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, -1, -1, 0, 0, 0, 0], [0, 0, 0, -1, -1, -1, 0, 0, 0, 0]]"
A3KCUB6P3IE8NL:3QJOXOW4XKM2P6U2855CSD6U757EM3,grid_12,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, -1, -1, -1, -1, -1, 0, 0, 0, 0], [0, 0.5, 0.5, 0.5, 0.5, -1, 0, 0, 0, 0], [0, 0.5, 0.5, 0.5, 0.5, -1, 0, 0, 0, 0], [-1, -1, -1, -1, -1, -1, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]"
A3KCUB6P3IE8NL:3QJOXOW4XKM2P6U2855CSD6U757EM3,grid_11,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, -1, -1, -1, 0, 0, 0], [0, 0, 0, -1, -1, -1, -1, 0, 0, 0]]"
