A1KS8EZV7U2D3O:3U5NZHP4LSXKUJIHQM5AUKX24QAPHQ,1,1529608210362,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 10254, ""action"": ""NextPage"", ""template"": ""instructions/instruct-1.html""}"
A1KS8EZV7U2D3O:3U5NZHP4LSXKUJIHQM5AUKX24QAPHQ,2,1529608248392,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 1, ""viewTime"": 38028, ""action"": ""NextPage"", ""template"": ""instructions/instruct-2.html""}"
A1KS8EZV7U2D3O:3U5NZHP4LSXKUJIHQM5AUKX24QAPHQ,3,1529608263863,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 2, ""viewTime"": 15469, ""action"": ""FinishInstructions"", ""template"": ""instructions/instruct-3.html""}"
ABL3H3O3BI8ZD:38YMOXR4MVUUH3V16PS1PNG8O9XW6R,0,1529608759936,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-3.html""], ""action"": ""Begin""}"
ABL3H3O3BI8ZD:38YMOXR4MVUUH3V16PS1PNG8O9XW6R,1,1529609109752,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 349813, ""action"": ""NextPage"", ""template"": ""instructions/instruct-1.html""}"
ABL3H3O3BI8ZD:38YMOXR4MVUUH3V16PS1PNG8O9XW6R,2,1529609113147,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 1, ""viewTime"": 3394, ""action"": ""NextPage"", ""template"": ""instructions/instruct-2.html""}"
ABL3H3O3BI8ZD:38YMOXR4MVUUH3V16PS1PNG8O9XW6R,3,1529609115306,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 2, ""viewTime"": 2158, ""action"": ""FinishInstructions"", ""template"": ""instructions/instruct-3.html""}"
A2U5HAXPAFPPA6:3SKEMFQBZ40QQHK8AQ6WLQI47XNK8E,0,1529609325987,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-3.html""], ""action"": ""Begin""}"
A2U5HAXPAFPPA6:3SKEMFQBZ40QQHK8AQ6WLQI47XNK8E,1,1529609352376,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 26372, ""action"": ""NextPage"", ""template"": ""instructions/instruct-1.html""}"
A2U5HAXPAFPPA6:3SKEMFQBZ40QQHK8AQ6WLQI47XNK8E,2,1529609379953,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 1, ""viewTime"": 27570, ""action"": ""NextPage"", ""template"": ""instructions/instruct-2.html""}"
